user,ndcg@5,precision@5,MAP
5695337,0.0,0.0,0.0
6861153,0.0,0.0,0.0
8816804,0.0,0.0,0.0
1568093,0.0,0.0,0.0
1656852,0.0,0.0,0.0
1945346,0.0,0.0,0.0
2216419,0.0,0.0,0.0
2699311,0.0,0.0,0.0
4019838,0.0,0.0,0.0
4677085,0.0,0.0,0.0
4728832,0.0,0.0,0.0
5046181,0.0,0.0,0.0
8169752,0.0,0.0,0.0
4000634,0.0,0.0,0.0
6062052,0.0,0.0,0.0
8154465,0.0,0.0,0.0
4143778,0.0,0.0,0.0
10907,0.0,0.0,0.0
4628268,0.0,0.0,0.0
850365,0.0,0.0,0.0
1786009,0.0,0.0,0.0
1977590,0.0,0.0,0.0
2004496,0.0,0.0,0.0
2420553,0.0,0.0,0.0
2699127,0.0,0.0,0.0
6911829,0.0,0.0,0.0
1301815,0.0,0.0,0.0
3861919,0.0,0.0,0.0
185068,0.0,0.0,0.0
4644898,0.0,0.0,0.0
4680852,0.0,0.0,0.0
5342079,0.0,0.0,0.0
6357405,0.0,0.0,0.0
849244,0.0,0.0,0.0
1890235,0.0,0.0,0.0
1900973,0.0,0.0,0.0
3230503,0.0,0.0,0.0
4198562,0.0,0.0,0.0
4255025,0.0,0.0,0.0
4313102,0.0,0.0,0.0
531920,0.0,0.0,0.0
920718,0.0,0.0,0.0
1081298,0.0,0.0,0.0
3529966,0.0,0.0,0.0
3645727,0.0,0.0,0.0
5638596,0.0,0.0,0.0
1009447,0.0,0.0,0.0
8357187,0.0,0.0,0.0
4748489,0.0,0.0,0.0
5198608,0.0,0.0,0.0
1230656,0.0,0.0,0.0
1304234,0.0,0.0,0.0
1971975,0.0,0.0,0.0
2527403,0.0,0.0,0.0
2776642,0.0,0.0,0.0
3957230,0.0,0.0,0.0
4023558,0.0,0.0,0.0
4067190,0.0,0.0,0.0
7445622,0.0,0.0,0.0
737376,0.0,0.0,0.0
818368,0.0,0.0,0.0
1435694,0.0,0.0,0.0
1612089,0.0,0.0,0.0
2338415,0.0,0.0,0.0
2399200,0.0,0.0,0.0
2487027,0.0,0.0,0.0
2789154,0.0,0.0,0.0
3932749,0.0,0.0,0.0
426638,0.0,0.0,0.0
4653789,0.0,0.0,0.0
5916873,0.0,0.0,0.0
7306498,0.0,0.0,0.0
874735,0.0,0.0,0.0
1257997,0.0,0.0,0.0
1277221,0.0,0.0,0.0
1282663,0.0,0.0,0.0
1364430,0.0,0.0,0.0
1441618,0.0,0.0,0.0
1710653,0.0,0.0,0.0
3510103,0.0,0.0,0.0
181587,0.0,0.0,0.0
4114697,0.0,0.0,0.0
1849232,0.0,0.0,0.0
6023643,0.0,0.0,0.0
7758840,0.0,0.0,0.0
8305905,0.0,0.0,0.0
1593490,0.6309297535714575,0.2,0.2708333333333333
1857173,0.0,0.0,0.0
1942935,0.0,0.0,0.0
3302857,0.0,0.0,0.0
7207147,0.0,0.0,0.0
1611837,0.0,0.0,0.0
2049566,0.0,0.0,0.0
1827103,0.0,0.0,0.0
5417232,0.0,0.0,0.0
3264412,0.0,0.0,0.0
456647,0.0,0.0,0.0
7788785,0.0,0.0,0.0
56285,0.0,0.0,0.0
4711945,0.0,0.0,0.0
4502738,0.0,0.0,0.0
829916,0.0,0.0,0.0
1047265,0.0,0.0,0.0
1254630,0.0,0.0,0.0
1885305,0.0,0.0,0.0
2798539,0.0,0.0,0.0
4205046,0.0,0.0,0.0
6059470,0.0,0.0,0.0
2392816,0.0,0.0,0.0
7452779,0.0,0.0,0.0
4641391,0.0,0.0,0.0
1286178,0.0,0.0,0.0
2057205,0.0,0.0,0.0
3444838,0.0,0.0,0.0
2569626,0.0,0.0,0.0
5565245,0.0,0.0,0.0
3133152,0.0,0.0,0.0
3488110,0.0,0.0,0.0
3706712,0.0,0.0,0.0
4645166,0.0,0.0,0.0
5527182,0.0,0.0,0.0
740168,0.0,0.0,0.0
7767038,0.0,0.0,0.0
1137532,0.0,0.0,0.0
2213599,0.0,0.0,0.0
884627,0.0,0.0,0.0
1467906,0.0,0.0,0.0
1994922,0.0,0.0,0.0
2337941,0.0,0.0,0.0
1742015,0.0,0.0,0.0
2251479,0.0,0.0,0.0
848498,0.0,0.0,0.0
1426613,0.0,0.0,0.0
4012433,0.0,0.0,0.0
6003060,0.0,0.0,0.0
529727,0.0,0.0,0.0
8079880,0.0,0.0,0.0
2141158,0.0,0.0,0.0
1143656,0.0,0.0,0.0
3066137,0.0,0.0,0.0
688329,0.0,0.0,0.0
699038,0.0,0.0,0.0
796250,0.0,0.0,0.0
1148867,0.0,0.0,0.0
1805672,0.0,0.0,0.0
3093677,0.0,0.0,0.0
5260429,0.0,0.0,0.0
5311189,0.0,0.0,0.0
933769,0.0,0.0,0.0
4756112,0.0,0.0,0.0
6715824,0.0,0.0,0.0
7616911,0.0,0.0,0.0
4825825,0.0,0.0,0.0
6337142,0.0,0.0,0.0
7077816,0.0,0.0,0.0
3752933,0.0,0.0,0.0
5383124,0.0,0.0,0.0
6739635,0.0,0.0,0.0
6766109,0.0,0.0,0.0
6864900,0.0,0.0,0.0
7017481,0.0,0.0,0.0
656150,0.0,0.0,0.0
857054,0.0,0.0,0.0
1408449,0.0,0.0,0.0
1739247,0.0,0.0,0.0
1921648,0.0,0.0,0.0
2129870,0.0,0.0,0.0
2522753,0.0,0.0,0.0
3583520,0.0,0.0,0.0
3594922,0.0,0.0,0.0
4339868,0.0,0.0,0.0
4431014,0.0,0.0,0.0
1803783,0.0,0.0,0.0
7827476,0.0,0.0,0.0
8189577,0.0,0.0,0.0
3443842,0.0,0.0,0.0
6295337,0.0,0.0,0.0
